data,valor
05.03.2022,"2.665,42"
04.03.2022,"2.622,15"
03.03.2022,"2.834,91"
02.03.2022,"2.947,14"
01.03.2022,"2.975,81"
28.02.2022,"2.922,50"
27.02.2022,"2.616,34"
26.02.2022,"2.776,96"
25.02.2022,"2.767,53"
24.02.2022,"2.596,52"
23.02.2022,"2.578,15"
22.02.2022,"2.636,13"
21.02.2022,"2.569,87"
20.02.2022,"2.619,32"
19.02.2022,"2.763,81"
18.02.2022,"2.779,56"
17.02.2022,"2.894,03"
16.02.2022,"3.118,90"
15.02.2022,"3.182,27"
14.02.2022,"2.929,31"
13.02.2022,"2.870,25"
12.02.2022,"2.917,10"
11.02.2022,"2.927,63"
10.02.2022,"3.071,83"
09.02.2022,"3.243,62"
08.02.2022,"3.115,88"
07.02.2022,"3.140,18"
06.02.2022,"3.056,20"
05.02.2022,"3.013,81"
04.02.2022,"2.994,99"
03.02.2022,"2.692,80"
02.02.2022,"2.681,00"
01.02.2022,"2.787,16"
31.01.2022,"2.686,82"
30.01.2022,"2.602,77"
29.01.2022,"2.600,02"
28.01.2022,"2.545,95"
27.01.2022,"2.424,66"
26.01.2022,"2.461,41"
25.01.2022,"2.458,07"
24.01.2022,"2.441,01"
23.01.2022,"2.540,81"
22.01.2022,"2.412,52"
21.01.2022,"2.571,29"
20.01.2022,"3.004,72"
19.01.2022,"3.083,65"
18.01.2022,"3.160,15"
17.01.2022,"3.209,35"
16.01.2022,"3.346,59"
15.01.2022,"3.327,74"
14.01.2022,"3.307,90"
13.01.2022,"3.238,03"
12.01.2022,"3.370,89"
11.01.2022,"3.237,89"
10.01.2022,"3.085,43"
09.01.2022,"3.150,30"
08.01.2022,"3.080,02"
07.01.2022,"3.195,31"
06.01.2022,"3.407,77"
05.01.2022,"3.535,86"
04.01.2022,"3.789,52"
03.01.2022,"3.764,24"
02.01.2022,"3.830,67"
01.01.2022,"3.765,67"
31.12.2021,"3.677,85"
30.12.2021,"3.709,57"
29.12.2021,"3.627,93"
28.12.2021,"3.791,69"
27.12.2021,"4.036,24"
26.12.2021,"4.061,27"
25.12.2021,"4.093,14"
24.12.2021,"4.043,39"
23.12.2021,"4.110,14"
22.12.2021,"3.979,54"
21.12.2021,"4.016,59"
20.12.2021,"3.938,80"
19.12.2021,"3.925,34"
18.12.2021,"3.959,83"
17.12.2021,"3.878,29"
16.12.2021,"3.956,62"
15.12.2021,"4.019,24"
14.12.2021,"3.861,55"
13.12.2021,"3.781,94"
12.12.2021,"4.131,78"
11.12.2021,"4.075,66"
10.12.2021,"3.903,48"
09.12.2021,"4.107,69"
08.12.2021,"4.435,74"
07.12.2021,"4.307,08"
06.12.2021,"4.353,31"
05.12.2021,"4.194,80"
04.12.2021,"4.123,46"
03.12.2021,"4.219,30"
02.12.2021,"4.512,90"
01.12.2021,"4.583,28"
30.11.2021,"4.628,90"
29.11.2021,"4.443,22"
28.11.2021,"4.296,98"
27.11.2021,"4.094,80"
26.11.2021,"4.034,53"
25.11.2021,"4.520,30"
24.11.2021,"4.273,54"
23.11.2021,"4.340,23"
22.11.2021,"4.086,95"
21.11.2021,"4.268,08"
20.11.2021,"4.408,85"
19.11.2021,"4.295,43"
18.11.2021,"4.001,87"
17.11.2021,"4.290,88"
16.11.2021,"4.208,16"
15.11.2021,"4.562,98"
14.11.2021,"4.625,59"
13.11.2021,"4.644,61"
12.11.2021,"4.667,31"
11.11.2021,"4.720,87"
10.11.2021,"4.634,03"
09.11.2021,"4.731,83"
08.11.2021,"4.808,38"
07.11.2021,"4.612,06"
06.11.2021,"4.517,36"
05.11.2021,"4.475,00"
04.11.2021,"4.535,11"
03.11.2021,"4.602,21"
02.11.2021,"4.586,06"
01.11.2021,"4.320,85"
31.10.2021,"4.287,56"
30.10.2021,"4.320,65"
29.10.2021,"4.413,70"
28.10.2021,"4.284,90"
27.10.2021,"3.921,93"
26.10.2021,"4.129,51"
25.10.2021,"4.219,92"
24.10.2021,"4.082,80"
23.10.2021,"4.168,85"
22.10.2021,"3.970,94"
21.10.2021,"4.054,16"
20.10.2021,"4.159,89"
19.10.2021,"3.876,78"
18.10.2021,"3.747,60"
17.10.2021,"3.845,47"
16.10.2021,"3.827,55"
15.10.2021,"3.866,90"
14.10.2021,"3.790,41"
13.10.2021,"3.607,28"
12.10.2021,"3.489,90"
11.10.2021,"3.545,06"
10.10.2021,"3.415,03"
09.10.2021,"3.574,20"
08.10.2021,"3.559,42"
07.10.2021,"3.586,00"
06.10.2021,"3.575,41"
05.10.2021,"3.517,26"
04.10.2021,"3.382,90"
03.10.2021,"3.417,34"
02.10.2021,"3.388,97"
01.10.2021,"3.309,13"
30.09.2021,"3.000,59"
29.09.2021,"2.851,50"
28.09.2021,"2.807,28"
27.09.2021,"2.926,24"
26.09.2021,"3.063,51"
25.09.2021,"2.922,55"
24.09.2021,"2.928,57"
23.09.2021,"3.152,92"
22.09.2021,"3.077,78"
21.09.2021,"2.761,52"
20.09.2021,"2.976,05"
19.09.2021,"3.329,12"
18.09.2021,"3.435,97"
17.09.2021,"3.398,65"
16.09.2021,"3.569,43"
15.09.2021,"3.611,90"
14.09.2021,"3.428,87"
13.09.2021,"3.284,52"
12.09.2021,"3.408,28"
11.09.2021,"3.267,33"
10.09.2021,"3.207,27"
09.09.2021,"3.423,51"
08.09.2021,"3.495,10"
07.09.2021,"3.423,12"
06.09.2021,"3.927,21"
05.09.2021,"3.950,62"
04.09.2021,"3.884,97"
03.09.2021,"3.936,29"
02.09.2021,"3.786,19"
01.09.2021,"3.832,73"
31.08.2021,"3.430,74"
